Sample,Date,Site,Year,Season,Replicate,Treatment,Site-Temperature,Mean-Temperature,Max-Temperature,Min-Temperature,picea,Visited_picea,scabrinodis,ruginodis,Myrmica,Visited_Myrmica,Lost-Sample,Eaten-Sample
Rad-2017-1-8-Protein,29/06/2017,Rad,2017,1,8,Protein,19,18.2,24.7,10.7,1,1,0,0,0,0,0,0
Rad-2017-1-9-Protein,29/06/2017,Rad,2017,1,9,Protein,19,18.2,24.7,10.7,4,1,0,0,0,0,0,0
Rad-2017-1-10-Protein,29/06/2017,Rad,2017,1,10,Protein,19,18.2,24.7,10.7,0,0,0,0,0,0,0,0
Rad-2017-1-11-Protein,29/06/2017,Rad,2017,1,11,Protein,19,18.2,24.7,10.7,2,1,0,0,0,0,0,0
Rad-2017-1-12-Protein,29/06/2017,Rad,2017,1,12,Protein,19,18.2,24.7,10.7,0,0,0,0,0,0,0,0
Rad-2017-1-13-Protein,29/06/2017,Rad,2017,1,13,Protein,19,18.2,24.7,10.7,0,0,0,0,0,0,0,0
Rad-2017-1-14-Protein,29/06/2017,Rad,2017,1,14,Protein,19,18.2,24.7,10.7,0,0,0,0,0,0,0,0
Rad-2017-1-15-Protein,29/06/2017,Rad,2017,1,15,Protein,19,18.2,24.7,10.7,7,1,0,0,0,0,0,1
Rad-2017-1-1-Carbohydrate,29/06/2017,Rad,2017,1,1,Carbohydrate,19,18.2,24.7,10.7,28,1,0,0,0,0,0,0
Rad-2017-1-2-Carbohydrate,29/06/2017,Rad,2017,1,2,Carbohydrate,19,18.2,24.7,10.7,12,1,0,0,0,0,0,0
Rad-2017-1-3-Carbohydrate,29/06/2017,Rad,2017,1,3,Carbohydrate,19,18.2,24.7,10.7,110,1,0,0,0,0,0,0
Rad-2017-1-4-Carbohydrate,29/06/2017,Rad,2017,1,4,Carbohydrate,19,18.2,24.7,10.7,55,1,0,0,0,0,0,0
Rad-2017-1-5-Carbohydrate,29/06/2017,Rad,2017,1,5,Carbohydrate,19,18.2,24.7,10.7,8,1,0,0,0,0,0,0
Rad-2017-1-6-Carbohydrate,29/06/2017,Rad,2017,1,6,Carbohydrate,19,18.2,24.7,10.7,5,1,0,0,0,0,0,0
Rad-2017-1-7-Carbohydrate,29/06/2017,Rad,2017,1,7,Carbohydrate,19,18.2,24.7,10.7,55,1,0,0,0,0,0,0
Rad-2017-1-8-Carbohydrate,29/06/2017,Rad,2017,1,8,Carbohydrate,19,18.2,24.7,10.7,110,1,0,0,0,0,0,0
Rad-2017-1-9-Carbohydrate,29/06/2017,Rad,2017,1,9,Carbohydrate,19,18.2,24.7,10.7,110,1,0,0,0,0,0,0
Rad-2017-1-10-Carbohydrate,29/06/2017,Rad,2017,1,10,Carbohydrate,19,18.2,24.7,10.7,55,1,0,0,0,0,0,0
Rad-2017-1-11-Carbohydrate,29/06/2017,Rad,2017,1,11,Carbohydrate,19,18.2,24.7,10.7,55,1,0,0,0,0,0,0
Rad-2017-1-12-Carbohydrate,29/06/2017,Rad,2017,1,12,Carbohydrate,19,18.2,24.7,10.7,110,1,0,0,0,0,0,0
Rad-2017-1-13-Carbohydrate,29/06/2017,Rad,2017,1,13,Carbohydrate,19,18.2,24.7,10.7,110,1,0,0,0,0,0,0
Rad-2017-1-14-Carbohydrate,29/06/2017,Rad,2017,1,14,Carbohydrate,19,18.2,24.7,10.7,110,1,0,0,0,0,0,0
Rad-2017-1-15-Carbohydrate,29/06/2017,Rad,2017,1,15,Carbohydrate,19,18.2,24.7,10.7,10,1,0,0,0,0,0,0
Rad-2017-1-1-Oil,29/06/2017,Rad,2017,1,1,Oil,19,18.2,24.7,10.7,0,0,0,0,0,0,0,0
